name	CDS	tRNA	putative CRISPR feature
Vibrio_virus_1.003.O._10N.286.48.A2	72	0	0
Vibrio_virus_1.004.O._10N.261.54.A2	50	0	0
Vibrio_virus_1.005.O._10N.286.48.F2	69	0	0
Vibrio_virus_1.007.O._10N.261.55.F9	80	4	0
Vibrio_virus_1.008.O._10N.286.54.E5	21	0	1
Vibrio_virus_1.009.O._10N.261.51.C9	62	0	1
Vibrio_virus_1.011.O._10N.286.49.B11	20	0	1
Vibrio_virus_1.012.O._10N.261.48.C12	98	1	0
Vibrio_virus_1.013.O._10N.286.54.F9	67	2	0
Vibrio_virus_1.015.O._10N.222.51.E5	66	0	0
Vibrio_virus_1.016.O._10N.286.46.A11	89	0	0
Vibrio_virus_1.017.O._10N.286.55.C11	73	0	0
Vibrio_virus_1.020.O._10N.222.48.A2	21	0	0
Vibrio_virus_1.021.A._10N.222.51.F9	50	0	0
Vibrio_virus_1.021.B._10N.222.51.F9	50	0	0
Vibrio_virus_1.021.C._10N.222.51.F9	50	0	0
Vibrio_virus_1.022.O._10N.286.45.A10	97	1	0
Vibrio_virus_1.023.O._10N.222.51.B4	91	2	0
Vibrio_virus_1.024.O._10N.261.45.F8	83	1	1
Vibrio_virus_1.025.O._10N.222.46.B6	108	1	0
Vibrio_virus_1.026.O._10N.222.49.C7	107	1	0
Vibrio_virus_1.027.O._10N.286.54.B8	85	0	0
Vibrio_virus_1.028.O._10N.286.45.B6	50	0	0
Vibrio_virus_1.029.O._10N.261.55.A7	83	0	0
Vibrio_virus_1.030.O._10N.222.55.F9	66	0	0
Vibrio_virus_1.031.O._10N.261.46.F8	198	2	0
Vibrio_virus_1.032.O._10N.261.54.F5	94	1	0
Vibrio_virus_1.033.O._10N.222.49.B8	89	1	0
Vibrio_virus_1.034.O._10N.261.46.B7	67	0	1
Vibrio_virus_1.034.X._10N.261.46.B7	68	0	1
Vibrio_virus_1.036.O._10N.286.45.C3	62	0	0
Vibrio_virus_1.037.O._10N.261.52.F7	50	0	0
Vibrio_virus_1.038.O._10N.286.51.C2	89	0	0
Vibrio_virus_1.039.O._10N.286.55.A2	68	0	0
Vibrio_virus_1.040.O._10N.286.45.B9	21	0	1
Vibrio_virus_1.042.O._10N.286.45.B8	95	0	0
Vibrio_virus_1.043.O._10N.261.52.C7	21	0	0
Vibrio_virus_1.044.O._10N.261.51.B8	21	0	0
Vibrio_virus_1.046.O._10N.286.52.E3	89	2	2
Vibrio_virus_1.047.O._10N.286.55.F2	73	0	1
Vibrio_virus_1.048.O._10N.286.46.A10	22	0	0
Vibrio_virus_1.049.O._10N.286.54.B5	60	0	1
Vibrio_virus_1.050.O._10N.286.48.A6	60	0	1
Vibrio_virus_1.052.A._10N.286.46.C3	75	0	0
Vibrio_virus_1.054.O._10N.261.52.A1	72	0	0
Vibrio_virus_1.055.O._10N.286.55.E9	66	0	0
Vibrio_virus_1.056.O._10N.261.48.C11	53	0	0
Vibrio_virus_1.057.O._10N.261.46.B12	21	0	0
Vibrio_virus_1.060.A._10N.261.48.B5	65	1	0
Vibrio_virus_1.061.O._10N.286.55.C2	65	0	0
Vibrio_virus_1.062.O._10N.286.55.C3	21	0	1
Vibrio_virus_1.063.O._10N.261.45.C7	231	0	0
Vibrio_virus_1.064.O._10N.261.52.E2	61	0	0
Vibrio_virus_1.066.O._10N.286.46.E8	53	0	0
Vibrio_virus_1.067.O._10N.261.52.C9	78	0	0
Vibrio_virus_1.068.O._10N.261.51.F8	53	0	0
Vibrio_virus_1.069.O._10N.286.49.F11	21	0	1
Vibrio_virus_1.070.O._10N.261.45.B2	66	0	0
Vibrio_virus_1.071.A._10N.286.46.A12	87	0	0
Vibrio_virus_1.072.O._10N.286.48.A12	51	0	0
Vibrio_virus_1.074.O._10N.222.49.B7	64	0	0
Vibrio_virus_1.075.O._10N.286.55.B10	73	0	0
Vibrio_virus_1.076.O._10N.286.51.B7	73	1	0
Vibrio_virus_1.077.O._10N.261.45.A10	66	0	0
Vibrio_virus_1.079.O._10N.286.45.E9	72	0	0
Vibrio_virus_1.080.O._10N.286.48.A4	19	0	0
Vibrio_virus_1.081.O._10N.286.52.C2	354	23	2
Vibrio_virus_1.082.O._10N.261.49.E4	57	0	0
Vibrio_virus_1.083.O._10N.286.52.B9	61	0	2
Vibrio_virus_1.084.O._10N.261.49.F5	244	0	0
Vibrio_virus_1.085.O._10N.222.51.E3	62	2	0
Vibrio_virus_1.086.O._10N.222.51.F8	68	0	0
Vibrio_virus_1.087.A._10N.261.45.F9	67	0	0
Vibrio_virus_1.088.O._10N.261.46.A1	90	1	0
Vibrio_virus_1.089.O._10N.261.51.F9	97	1	0
Vibrio_virus_1.090.B._10N.286.48.F1	68	0	0
Vibrio_virus_1.091.O._10N.286.52.B12	75	0	0
Vibrio_virus_1.093.O._10N.286.55.E10	73	0	0
Vibrio_virus_1.094.O._10N.286.55.E12	73	0	0
Vibrio_virus_1.095.O._10N.286.46.E10	22	0	0
Vibrio_virus_1.097.O._10N.286.49.B3	98	0	0
Vibrio_virus_1.098.O._10N.286.51.B9	97	1	0
Vibrio_virus_1.100.O._10N.261.45.C3	70	0	0
Vibrio_virus_1.101.O._10N.261.45.C6	224	2	0
Vibrio_virus_1.102.O._10N.261.45.E3	22	0	0
Vibrio_virus_1.103.O._10N.261.52.F2	93	1	0
Vibrio_virus_1.104.O._10N.286.49.A12	93	0	0
Vibrio_virus_1.105.O._10N.286.49.B4	80	0	0
Vibrio_virus_1.106.O._10N.286.51.F7	77	0	0
Vibrio_virus_1.107.A._10N.286.52.E10	22	0	0
Vibrio_virus_1.107.B._10N.286.52.E10	22	0	0
Vibrio_virus_1.107.C._10N.286.52.E10	22	0	0
Vibrio_virus_1.108.O._10N.222.51.A4	62	0	0
Vibrio_virus_1.110.O._10N.261.52.C1	66	1	0
Vibrio_virus_1.111.A._10N.286.45.E6	62	0	0
Vibrio_virus_1.111.B._10N.286.45.E6	62	0	0
Vibrio_virus_1.112.O._10N.286.46.B11	83	0	0
Vibrio_virus_1.113.A._10N.286.51.E7	74	0	0
Vibrio_virus_1.115.A._10N.222.49.B11	71	0	0
Vibrio_virus_1.115.B._10N.222.49.B11	71	0	0
Vibrio_virus_1.116.O._10N.222.52.C10	61	2	0
Vibrio_virus_1.117.O._10N.261.45.E9	82	0	0
Vibrio_virus_1.118.A._10N.261.49.F6	96	1	0
Vibrio_virus_1.118.B._10N.261.49.F6	96	1	0
Vibrio_virus_1.119.O._10N.261.51.A9	76	0	0
Vibrio_virus_1.121.O._10N.286.46.C4	263	3	0
Vibrio_virus_1.122.A._10N.286.46.F8	69	2	0
Vibrio_virus_1.122.B._10N.286.46.F8	69	2	0
Vibrio_virus_1.123.O._10N.286.48.F3	72	0	0
Vibrio_virus_1.124.O._10N.286.49.B1	70	0	1
Vibrio_virus_1.125.O._10N.286.49.F5	21	0	1
Vibrio_virus_1.127.O._10N.286.52.E12	77	0	0
Vibrio_virus_1.131.O._10N.222.49.A8	67	0	0
Vibrio_virus_1.132.O._10N.222.49.F8	65	0	0
Vibrio_virus_1.133.O._10N.222.51.E4	66	0	0
Vibrio_virus_1.134.O._10N.222.52.B8	62	2	0
Vibrio_virus_1.135.O._10N.222.54.B6	75	0	0
Vibrio_virus_1.136.O._10N.261.45.E11	38	0	0
Vibrio_virus_1.137.O._10N.261.46.B5	69	0	0
Vibrio_virus_1.138.O._10N.261.48.A1	45	0	0
Vibrio_virus_1.139.A._10N.261.48.C6	67	0	1
Vibrio_virus_1.139.B._10N.261.48.C6	68	0	1
Vibrio_virus_1.141.A._10N.261.49.B3	19	0	0
Vibrio_virus_1.142.O._10N.261.49.E11	48	0	0
Vibrio_virus_1.143.O._10N.261.55.C8	76	0	0
Vibrio_virus_1.144.O._10N.286.45.B3	75	0	0
Vibrio_virus_1.147.O._10N.286.49.E9	66	0	0
Vibrio_virus_1.148.O._10N.286.54.A10	65	0	0
Vibrio_virus_1.149.O._10N.286.55.A12	79	0	0
Vibrio_virus_1.150.O._10N.222.46.A6	108	1	0
Vibrio_virus_1.151.O._10N.222.46.B1	64	0	0
Vibrio_virus_1.152.O._10N.222.46.E1	108	1	0
Vibrio_virus_1.154.O._10N.222.52.B12	60	0	1
Vibrio_virus_1.155.O._10N.222.55.B3	45	0	0
Vibrio_virus_1.156.O._10N.261.45.A6	50	0	0
Vibrio_virus_1.157.O._10N.261.45.B7	59	0	0
Vibrio_virus_1.158.O._10N.261.45.E12	72	0	0
Vibrio_virus_1.159.O._10N.261.46.F12	50	0	0
Vibrio_virus_1.160.O._10N.261.48.B11	93	1	0
Vibrio_virus_1.161.O._10N.261.48.C5	228	0	1
Vibrio_virus_1.162.O._10N.261.48.E3	66	0	0
Vibrio_virus_1.164.O._10N.261.51.A7	64	0	1
Vibrio_virus_1.165.O._10N.261.51.B7	61	0	0
Vibrio_virus_1.166.O._10N.261.51.C7	35	0	0
Vibrio_virus_1.167.O._10N.261.51.F2	66	0	0
Vibrio_virus_1.168.O._10N.261.52.A10	66	0	0
Vibrio_virus_1.169.O._10N.261.52.B1	85	1	0
Vibrio_virus_1.170.O._10N.261.52.C3	214	0	0
Vibrio_virus_1.171.O._10N.261.52.F12	88	0	0
Vibrio_virus_1.172.O._10N.261.52.F5	61	2	0
Vibrio_virus_1.173.O._10N.261.55.A11	84	0	0
Vibrio_virus_1.174.O._10N.261.55.A8	68	0	0
Vibrio_virus_1.175.O._10N.261.55.B3	74	0	0
Vibrio_virus_1.176.O._10N.261.55.F5	63	2	0
Vibrio_virus_1.177.O._10N.286.45.E10	80	0	0
Vibrio_virus_1.178.O._10N.286.45.E12	74	0	0
Vibrio_virus_1.179.O._10N.286.45.F12	45	0	0
Vibrio_virus_1.181.O._10N.286.46.C9	78	0	0
Vibrio_virus_1.182.O._10N.286.46.E1	56	0	0
Vibrio_virus_1.183.O._10N.286.48.B7	41	0	1
Vibrio_virus_1.184.A._10N.286.49.A5	48	0	1
Vibrio_virus_1.185.O._10N.286.49.C2	48	0	1
Vibrio_virus_1.186.O._10N.286.49.E3	78	2	0
Vibrio_virus_1.187.O._10N.286.49.F1	255	2	0
Vibrio_virus_1.188.A._10N.286.51.A6	86	1	0
Vibrio_virus_1.188.B._10N.286.51.A6	86	1	0
Vibrio_virus_1.188.C._10N.286.51.A6	86	1	0
Vibrio_virus_1.189.B._10N.286.51.B5	66	0	0
Vibrio_virus_1.189.C._10N.286.51.B5	66	0	0
Vibrio_virus_1.189.O._10N.286.51.B5	66	0	0
Vibrio_virus_1.190.O._10N.286.51.F12	35	0	0
Vibrio_virus_1.191.O._10N.286.52.B4	72	0	0
Vibrio_virus_1.193.O._10N.286.52.C6	249	4	0
Vibrio_virus_1.194.O._10N.286.54.B1	85	0	0
Vibrio_virus_1.195.O._10N.286.54.C8	88	0	0
Vibrio_virus_1.196.O._10N.286.54.E12	85	0	0
Vibrio_virus_1.197.A._10N.286.54.F2	71	0	0
Vibrio_virus_1.198.A._10N.286.54.F4	79	0	0
Vibrio_virus_1.198.B._10N.286.54.F4	78	0	0
Vibrio_virus_1.199.A._10N.286.55.C10	77	0	0
Vibrio_virus_1.199.B._10N.286.55.C10	77	0	0
Vibrio_virus_1.200.O._10N.286.55.E1	85	0	0
Vibrio_virus_1.201.B._10N.286.55.F1	73	0	0
