	name	coverage	percent GC	Genome Length	CDS	tRNA	putative CRISPR feature
0	Vibrio_virus_1.003.O._10N.286.48.A2	953.0	42.8421379294	41891	72	0	0
1	Vibrio_virus_1.005.O._10N.286.48.F2	14049.0	43.961352657	50301	69	0	0
2	Vibrio_virus_1.007.O._10N.261.55.F9	13064.0	42.8458289335	49244	80	4	0
3	Vibrio_virus_1.008.O._10N.286.54.E5	963.0	43.3311277058	10579	21	0	1
4	Vibrio_virus_1.009.O._10N.261.51.C9	9690.0	57.6918749859	44443	62	0	1
5	Vibrio_virus_1.011.O._10N.286.49.B11	1461.0	43.3594857737	10579	20	0	1
6	Vibrio_virus_1.012.O._10N.261.48.C12	8179.0	48.6070124544	59979	98	1	0
7	Vibrio_virus_1.013.O._10N.286.54.F9	9135.0	43.862608813	44457	67	2	0
8	Vibrio_virus_1.015.O._10N.222.51.E5	880.0	47.6118912319	42586	66	0	0
9	Vibrio_virus_1.016.O._10N.286.46.A11	7676.0	43.287990349	48078	89	0	0
10	Vibrio_virus_1.017.O._10N.286.55.C11	3333.0	44.2873854553	51290	73	0	0
11	Vibrio_virus_1.020.O._10N.222.48.A2	405.0	43.6630312147	10636	21	0	0
12	Vibrio_virus_1.021.A._10N.222.51.F9	621.0	46.5171570308	43743	50	0	0
13	Vibrio_virus_1.021.B._10N.222.51.F9	557.0	46.5171570308	43743	50	0	0
14	Vibrio_virus_1.021.C._10N.222.51.F9	629.0	46.5148709508	43743	50	0	0
15	Vibrio_virus_1.022.O._10N.286.45.A10	326.0	48.5554131967	62440	97	1	0
16	Vibrio_virus_1.023.O._10N.222.51.B4	170.0	48.6254008552	59872	91	2	0
17	Vibrio_virus_1.024.O._10N.261.45.F8	5579.0	49.0609930041	58892	83	1	1
18	Vibrio_virus_1.027.O._10N.286.54.B8	447.0	48.5926775385	59297	85	0	0
19	Vibrio_virus_1.029.O._10N.261.55.A7	6524.0	42.553694666	46513	83	0	0
20	Vibrio_virus_1.030.O._10N.222.55.F9	776.0	43.8933379885	45827	66	0	0
21	Vibrio_virus_1.032.O._10N.261.54.F5	8522.0	48.4445106707	60399	94	1	0
22	Vibrio_virus_1.033.O._10N.222.49.B8	7852.0	48.353102637	61206	89	1	0
23	Vibrio_virus_1.034.O._10N.261.46.B7	795.0	48.0224334429	44398	67	0	1
