name	percent GC	Genome Length
Vibrio_virus_1.003.O._10N.286.48.A2	42.8421379294	41891
Vibrio_virus_1.004.O._10N.261.54.A2	44.9836512903	42511
Vibrio_virus_1.005.O._10N.286.48.F2	43.961352657	50301
Vibrio_virus_1.007.O._10N.261.55.F9	42.8458289335	49244
Vibrio_virus_1.008.O._10N.286.54.E5	43.3311277058	10579
Vibrio_virus_1.009.O._10N.261.51.C9	57.6918749859	44443
Vibrio_virus_1.011.O._10N.286.49.B11	43.3594857737	10579
Vibrio_virus_1.012.O._10N.261.48.C12	48.6070124544	59979
Vibrio_virus_1.013.O._10N.286.54.F9	43.862608813	44457
Vibrio_virus_1.015.O._10N.222.51.E5	47.6118912319	42586
Vibrio_virus_1.016.O._10N.286.46.A11	43.287990349	48078
Vibrio_virus_1.017.O._10N.286.55.C11	44.2873854553	51290
Vibrio_virus_1.020.O._10N.222.48.A2	43.6630312147	10636
Vibrio_virus_1.021.A._10N.222.51.F9	46.5171570308	43743
Vibrio_virus_1.021.B._10N.222.51.F9	46.5171570308	43743
Vibrio_virus_1.021.C._10N.222.51.F9	46.5148709508	43743
Vibrio_virus_1.022.O._10N.286.45.A10	48.5554131967	62440
Vibrio_virus_1.023.O._10N.222.51.B4	48.6254008552	59872
Vibrio_virus_1.024.O._10N.261.45.F8	49.0609930041	58892
Vibrio_virus_1.025.O._10N.222.46.B6	43.1046083618	75797
Vibrio_virus_1.026.O._10N.222.49.C7	43.102266737	75880
Vibrio_virus_1.027.O._10N.286.54.B8	48.5926775385	59297
Vibrio_virus_1.028.O._10N.286.45.B6	45.946883674	31704
Vibrio_virus_1.029.O._10N.261.55.A7	42.553694666	46513
Vibrio_virus_1.030.O._10N.222.55.F9	43.8933379885	45827
Vibrio_virus_1.031.O._10N.261.46.F8	43.1588445293	152942
Vibrio_virus_1.032.O._10N.261.54.F5	48.4445106707	60399
Vibrio_virus_1.033.O._10N.222.49.B8	48.353102637	61206
Vibrio_virus_1.034.O._10N.261.46.B7	48.0224334429	44398
Vibrio_virus_1.034.X._10N.261.46.B7	48.0206385328	44383
Vibrio_virus_1.036.O._10N.286.45.C3	42.7984665936	40172
Vibrio_virus_1.037.O._10N.261.52.F7	44.9676416692	43111
Vibrio_virus_1.038.O._10N.286.51.C2	43.1678334376	49567
Vibrio_virus_1.039.O._10N.286.55.A2	42.5241628429	40972
Vibrio_virus_1.040.O._10N.286.45.B9	43.3216750165	10579
Vibrio_virus_1.042.O._10N.286.45.B8	43.1751457873	49730
Vibrio_virus_1.043.O._10N.261.52.C7	41.8224299065	10272
Vibrio_virus_1.044.O._10N.261.51.B8	41.7932242991	10272
Vibrio_virus_1.046.O._10N.286.52.E3	48.3224805209	62503
Vibrio_virus_1.047.O._10N.286.55.F2	43.3002212293	46106
Vibrio_virus_1.048.O._10N.286.46.A10	41.7248970996	10447
Vibrio_virus_1.049.O._10N.286.54.B5	41.5983652073	45021
Vibrio_virus_1.050.O._10N.286.48.A6	41.6407198852	45285
Vibrio_virus_1.052.A._10N.286.46.C3	46.7718995547	42889
Vibrio_virus_1.054.O._10N.261.52.A1	42.3181883468	41774
Vibrio_virus_1.055.O._10N.286.55.E9	40.928833238	47199
Vibrio_virus_1.056.O._10N.261.48.C11	44.7570876015	47054
Vibrio_virus_1.057.O._10N.261.46.B12	41.7794217853	10273
Vibrio_virus_1.060.A._10N.261.48.B5	43.2550784576	41105
Vibrio_virus_1.061.O._10N.286.55.C2	43.0748554012	41667
Vibrio_virus_1.062.O._10N.286.55.C3	43.3311277058	10579
Vibrio_virus_1.063.O._10N.261.45.C7	37.3356861343	128641
Vibrio_virus_1.064.O._10N.261.52.E2	42.7891974634	36584
Vibrio_virus_1.066.O._10N.286.46.E8	44.7495377553	47053
Vibrio_virus_1.067.O._10N.261.52.C9	42.5418141863	40955
Vibrio_virus_1.068.O._10N.261.51.F8	44.7595561036	47038
Vibrio_virus_1.069.O._10N.286.49.F11	43.3311277058	10579
Vibrio_virus_1.070.O._10N.261.45.B2	49.3955134167	44087
Vibrio_virus_1.071.A._10N.286.46.A12	43.3096396059	48114
Vibrio_virus_1.072.O._10N.286.48.A12	44.772540422	43788
Vibrio_virus_1.074.O._10N.222.49.B7	42.608742755	36922
Vibrio_virus_1.075.O._10N.286.55.B10	44.2893351531	51290
Vibrio_virus_1.076.O._10N.286.51.B7	42.8434278082	47914
Vibrio_virus_1.077.O._10N.261.45.A10	49.3790723545	44047
